token_id,t_in_ns,t_out_ns,latency_ns
0,100000000000000.000000000,100000000000000.000000000,0.000000000
1,100000000000000.000000000,100000000000000.000000000,0.000000000
2,100000000000000.000000000,100000000000000.000000000,0.000000000
3,100000000000000.000000000,100000000000000.000000000,0.000000000
4,100000000000000.000000000,100000000000000.000000000,0.000000000
5,100000000000000.000000000,100000000000000.000000000,0.000000000
6,100000000000000.000000000,100000000000000.000000000,0.000000000
7,100000000000000.000000000,100000000000000.000000000,0.000000000
8,100000000000000.000000000,100000000000000.000000000,0.000000000
9,100000000000000.000000000,100000000000000.000000000,0.000000000
10,100000000000000.000000000,100000000000000.000000000,0.000000000
11,100000000000000.000000000,100000000000000.000000000,0.000000000
12,100000000000000.000000000,100000000000000.000000000,0.000000000
13,100000000000000.000000000,100000000000000.000000000,0.000000000
14,100000000000000.000000000,100000000000000.000000000,0.000000000
15,100000000000000.000000000,100000000000000.000000000,0.000000000
16,100000000000000.000000000,100000000000000.000000000,0.000000000
17,100000000000000.000000000,100000000000000.000000000,0.000000000
18,100000000000000.000000000,100000000000000.000000000,0.000000000
19,100000000000000.000000000,100000000000000.000000000,0.000000000
20,100000000000000.000000000,100000000000000.000000000,0.000000000
21,100000000000000.000000000,100000000000000.000000000,0.000000000
22,100000000000000.000000000,100000000000000.000000000,0.000000000
23,100000000000000.000000000,100000000000000.000000000,0.000000000
24,100000000000000.000000000,100000000000000.000000000,0.000000000
25,100000000000000.000000000,100000000000000.000000000,0.000000000
26,100000000000000.000000000,100000000000000.000000000,0.000000000
27,100000000000000.000000000,100000000000000.000000000,0.000000000
28,100000000000000.000000000,100000000000000.000000000,0.000000000
29,100000000000000.000000000,100000000000000.000000000,0.000000000
30,100000000000000.000000000,100000000000000.000000000,0.000000000
31,100000000000000.000000000,100000000000000.000000000,0.000000000
32,100000000000000.000000000,100000000000000.000000000,0.000000000
33,100000000000000.000000000,100000000000000.000000000,0.000000000
34,100000000000000.000000000,100000000000000.000000000,0.000000000
35,100000000000000.000000000,100000000000000.000000000,0.000000000
36,100000000000000.000000000,100000000000000.000000000,0.000000000
37,100000000000000.000000000,100000000000000.000000000,0.000000000
38,100000000000000.000000000,100000000000000.000000000,0.000000000
39,100000000000000.000000000,100000000000000.000000000,0.000000000
40,100000000000000.000000000,100000000000000.000000000,0.000000000
41,100000000000000.000000000,100000000000000.000000000,0.000000000
42,100000000000000.000000000,100000000000000.000000000,0.000000000
43,100000000000000.000000000,100000000000000.000000000,0.000000000
44,100000000000000.000000000,100000000000000.000000000,0.000000000
45,100000000000000.000000000,100000000000000.000000000,0.000000000
46,100000000000000.000000000,100000000000000.000000000,0.000000000
47,100000000000000.000000000,100000000000000.000000000,0.000000000
48,100000000000000.000000000,100000000000000.000000000,0.000000000
49,100000000000000.000000000,100000000000000.000000000,0.000000000
50,100000000000000.000000000,100000000000000.000000000,0.000000000
51,100000000000000.000000000,100000000000000.000000000,0.000000000
52,100000000000000.000000000,100000000000000.000000000,0.000000000
53,100000000000000.000000000,100000000000000.000000000,0.000000000
54,100000000000000.000000000,100000000000000.000000000,0.000000000
55,100000000000000.000000000,100000000000000.000000000,0.000000000
56,100000000000000.000000000,100000000000000.000000000,0.000000000
57,100000000000000.000000000,100000000000000.000000000,0.000000000
58,100000000000000.000000000,100000000000000.000000000,0.000000000
59,100000000000000.000000000,100000000000000.000000000,0.000000000
60,100000000000000.000000000,100000000000000.000000000,0.000000000
61,100000000000000.000000000,100000000000000.000000000,0.000000000
62,100000000000000.000000000,100000000000000.000000000,0.000000000
63,100000000000000.000000000,100000000000000.000000000,0.000000000
64,100000000000000.000000000,100000000000000.000000000,0.000000000
65,100000000000000.000000000,100000000000000.000000000,0.000000000
66,100000000000000.000000000,100000000000000.000000000,0.000000000
67,100000000000000.000000000,100000000000000.000000000,0.000000000
68,100000000000000.000000000,100000000000000.000000000,0.000000000
69,100000000000000.000000000,100000000000000.000000000,0.000000000
70,100000000000000.000000000,100000000000000.000000000,0.000000000
71,100000000000000.000000000,100000000000000.000000000,0.000000000
72,100000000000000.000000000,100000000000000.000000000,0.000000000
73,100000000000000.000000000,100000000000000.000000000,0.000000000
74,100000000000000.000000000,100000000000000.000000000,0.000000000
75,100000000000000.000000000,100000000000000.000000000,0.000000000
76,100000000000000.000000000,100000000000000.000000000,0.000000000
77,100000000000000.000000000,100000000000000.000000000,0.000000000
78,100000000000000.000000000,100000000000000.000000000,0.000000000
79,100000000000000.000000000,100000000000000.000000000,0.000000000
80,100000000000000.000000000,100000000000000.000000000,0.000000000
81,100000000000000.000000000,100000000000000.000000000,0.000000000
82,100000000000000.000000000,100000000000000.000000000,0.000000000
83,100000000000000.000000000,100000000000000.000000000,0.000000000
84,100000000000000.000000000,100000000000000.000000000,0.000000000
85,100000000000000.000000000,100000000000000.000000000,0.000000000
86,100000000000000.000000000,100000000000000.000000000,0.000000000
87,100000000000000.000000000,100000000000000.000000000,0.000000000
88,100000000000000.000000000,100000000000000.000000000,0.000000000
89,100000000000000.000000000,100000000000000.000000000,0.000000000
90,100000000000000.000000000,100000000000000.000000000,0.000000000
91,100000000000000.000000000,100000000000000.000000000,0.000000000
92,100000000000000.000000000,100000000000000.000000000,0.000000000
93,100000000000000.000000000,100000000000000.000000000,0.000000000
94,100000000000000.000000000,100000000000000.000000000,0.000000000
95,100000000000000.000000000,100000000000000.000000000,0.000000000
96,100000000000000.000000000,100000000000000.000000000,0.000000000
97,100000000000000.000000000,100000000000000.000000000,0.000000000
98,100000000000000.000000000,100000000000000.000000000,0.000000000
99,100000000000000.000000000,100000000000000.000000000,0.000000000
100,100000000000000.000000000,100000000000000.000000000,0.000000000
101,100000000000000.000000000,100000000000000.000000000,0.000000000
102,100000000000000.000000000,100000000000000.000000000,0.000000000
103,100000000000000.000000000,100000000000000.000000000,0.000000000
104,100000000000000.000000000,100000000000000.000000000,0.000000000
105,100000000000000.000000000,100000000000000.000000000,0.000000000
106,100000000000000.000000000,100000000000000.000000000,0.000000000
107,100000000000000.000000000,100000000000000.000000000,0.000000000
108,100000000000000.000000000,100000000000000.000000000,0.000000000
109,100000000000000.000000000,100000000000000.000000000,0.000000000
110,100000000000000.000000000,100000000000000.000000000,0.000000000
111,100000000000000.000000000,100000000000000.000000000,0.000000000
112,100000000000000.000000000,100000000000000.000000000,0.000000000
113,100000000000000.000000000,100000000000000.000000000,0.000000000
114,100000000000000.000000000,100000000000000.000000000,0.000000000
115,100000000000000.000000000,100000000000000.000000000,0.000000000
116,100000000000000.000000000,100000000000000.000000000,0.000000000
117,100000000000000.000000000,100000000000000.000000000,0.000000000
118,100000000000000.000000000,100000000000000.000000000,0.000000000
119,100000000000000.000000000,100000000000000.000000000,0.000000000
120,100000000000000.000000000,100000000000000.000000000,0.000000000
121,100000000000000.000000000,100000000000000.000000000,0.000000000
122,100000000000000.000000000,100000000000000.000000000,0.000000000
123,100000000000000.000000000,100000000000000.000000000,0.000000000
124,100000000000000.000000000,100000000000000.000000000,0.000000000
125,100000000000000.000000000,100000000000000.000000000,0.000000000
126,100000000000000.000000000,100000000000000.000000000,0.000000000
127,100000000000000.000000000,100000000000000.000000000,0.000000000
